"mydate","v1","v2","v3","v4","v5","v6","mys"
2017-11-13,"04","15","17","20","25","28","01"
2017-11-16,"01","11","13","20","21","38","02"
2017-11-20,"09","16","18","26","30","37","05"
2017-11-23,"14","17","20","28","29","34","05"
2017-11-27,"10","13","14","17","20","21","02"
2017-11-30,"07","08","13","28","29","34","02"
2017-12-04,"17","19","20","24","26","36","03"
2017-12-07,"03","04","07","17","20","22","05"
2017-12-11,"03","10","15","16","23","38","03"
2017-12-14,"01","06","12","24","25","30","03"
2017-12-18,"01","03","07","17","24","28","07"
2017-12-21,"03","08","22","23","24","36","04"
2017-12-25,"02","10","12","15","16","21","05"
2017-12-28,"01","14","18","23","28","29","07"
2018-01-01,"13","15","16","30","32","37","06"
2018-01-04,"02","12","21","24","34","37","05"
2018-01-08,"03","06","11","26","31","38","06"
2018-01-11,"05","08","12","19","25","38","03"
2018-01-15,"06","13","16","26","32","33","03"
2018-01-18,"05","11","16","17","23","38","02"
2018-01-22,"06","09","10","13","28","38","06"
2018-01-25,"09","14","20","29","36","38","04"
2018-01-29,"02","08","26","32","33","37","07"
2020-04-16,"03","06","17","20","25","30","05"
2020-04-20,"05","12","17","20","23","38","07"
2020-04-23,"10","15","16","17","18","26","06"
2020-04-27,"01","03","13","15","17","33","01"
2020-04-30,"07","11","12","15","30","31","06"
2020-05-04,"02","19","23","31","32","35","07"
2020-05-07,"05","20","21","23","25","36","03"
2020-05-11,"14","15","25","28","32","34","08"
2020-05-14,"12","17","24","30","34","35","02"
2020-05-18,"04","11","25","27","35","36","08"
2020-05-21,"04","07","24","27","33","35","08"
2020-05-25,"03","04","14","18","28","29","04"
2020-05-28,"02","04","07","08","18","35","06"
2020-06-01,"01","04","13","19","21","25","08"
2020-06-04,"04","06","18","26","37","38","01"
2020-06-08,"01","08","15","16","28","33","06"
2020-06-11,"06","17","22","26","27","38","04"
2020-06-15,"14","16","20","23","28","32","07"
2020-06-18,"06","12","20","25","27","37","05"
2020-06-22,"07","10","21","23","24","27","01"
2020-06-25,"15","17","22","24","27","36","06"
2020-06-29,"01","08","19","26","27","38","08"
