"","stake","date","name","buy","sell","total"
"1","1570力肯","110/08/19","國票-北高雄",37,0,37
"2","1570力肯","110/08/19","新光-台南",3,44,-41
"3","1570力肯","110/08/19","康和-台南",30,0,30
"4","1570力肯","110/08/19","元大-大統",0,20,-20
"5","1570力肯","110/08/19","國票-內壢",25,0,25
"6","1570力肯","110/08/19","元富-新店",0,18,-18
"7","1570力肯","110/08/19","元富-虎尾",20,0,20
"8","1570力肯","110/08/19","元大-民生",2,19,-17
"9","1570力肯","110/08/19","國票-博愛",17,0,17
"10","1570力肯","110/08/19","國泰-敦南",1,16,-15
"11","1570力肯","110/08/19","日盛-高雄",15,0,15
"12","1570力肯","110/08/19","富邦-敦南",0,15,-15
"13","1570力肯","110/08/19","元大-南投",15,0,15
"14","1570力肯","110/08/19","元大-大雅",10,25,-15
"15","1570力肯","110/08/19","富邦-嘉義",15,1,14
"16","1570力肯","110/08/19","日盛-板橋",2,16,-14
"17","1570力肯","110/08/19","元大-北投",13,0,13
"18","1570力肯","110/08/19","華南永昌-嘉義",0,12,-12
"19","1570力肯","110/08/19","元富-緯城",12,0,12
"20","1570力肯","110/08/19","凱基-台北",3,14,-11
"21","1570力肯","110/08/19","土銀-新竹",11,0,11
"22","1570力肯","110/08/19","元富-草屯",0,10,-10
"23","1570力肯","110/08/19","日盛-嘉義",11,0,11
"24","1570力肯","110/08/19","新光",7,17,-10
"25","1570力肯","110/08/19","富邦-羅東",11,0,11
"26","1570力肯","110/08/19","富邦-內湖",3,13,-10
"27","1570力肯","110/08/19","富邦-仁愛",10,0,10
"28","1570力肯","110/08/19","元大-福營",0,10,-10
"29","1570力肯","110/08/19","元大-羅東",10,0,10
"30","1570力肯","110/08/19","元大-松山",0,10,-10
"31","6180橘子","110/08/19","美林",29,0,29
"32","6180橘子","110/08/19","新光-台中",4,23,-19
"33","6180橘子","110/08/19","美商高盛",24,0,24
"34","6180橘子","110/08/19","元大-大甲",0,16,-16
"35","6180橘子","110/08/19","富邦-竹東",21,0,21
"36","6180橘子","110/08/19","元富-城東",1,13,-12
"37","6180橘子","110/08/19","第一金-新竹",20,0,20
"38","6180橘子","110/08/19","凱基-台北",2,13,-11
"39","6180橘子","110/08/19","富邦-永和",11,0,11
"40","6180橘子","110/08/19","凱基-竹科",1,12,-11
"41","6180橘子","110/08/19","合庫-自強",10,0,10
"42","6180橘子","110/08/19","元富-草屯",0,10,-10
"43","6180橘子","110/08/19","富邦-新竹",12,2,10
"44","6180橘子","110/08/19","新光",8,18,-10
"45","6180橘子","110/08/19","元大-中壢",10,1,9
"46","6180橘子","110/08/19","凱基-站前",0,10,-10
"47","6180橘子","110/08/19","國泰-板橋",7,1,6
"48","6180橘子","110/08/19","元大-文心興安",0,10,-10
"49","6180橘子","110/08/19","富隆-長安",5,0,5
"50","6180橘子","110/08/19","永豐金-新店",0,10,-10
"51","6180橘子","110/08/19","大慶-苗栗",5,0,5
"52","6180橘子","110/08/19","兆豐-新營",1,10,-9
"53","6180橘子","110/08/19","台新-屏東",5,0,5
"54","6180橘子","110/08/19","元大-北屯",1,10,-9
"55","6180橘子","110/08/19","元大-向上",5,0,5
"56","6180橘子","110/08/19","摩根大通",28,36,-8
"57","6180橘子","110/08/19","永豐金-竹科",5,0,5
"58","6180橘子","110/08/19","凱基-市政",0,7,-7
"59","6180橘子","110/08/19","土銀-新竹",4,0,4
"60","6180橘子","110/08/19","台灣摩根士丹利",11,17,-6
"61","2390云辰","110/08/19","富邦-花蓮",100,0,100
"62","2390云辰","110/08/19","摩根大通",96,805,-709
"63","2390云辰","110/08/19","統一-新台中",86,0,86
"64","2390云辰","110/08/19","美林",195,271,-76
"65","2390云辰","110/08/19","凱基-台北",335,254,81
"66","2390云辰","110/08/19","兆豐-桃園",15,90,-75
"67","2390云辰","110/08/19","國票-博愛",132,54,78
"68","2390云辰","110/08/19","大昌-新店",27,92,-65
"69","2390云辰","110/08/19","凱基-台中",77,1,76
"70","2390云辰","110/08/19","宏遠-桃園",1,63,-62
"71","2390云辰","110/08/19","凱基-和平",60,2,58
"72","2390云辰","110/08/19","華南永昌-公誠",53,110,-57
"73","2390云辰","110/08/19","國票-安和",53,10,43
"74","2390云辰","110/08/19","大慶-富順",11,67,-56
"75","2390云辰","110/08/19","元大-四維",46,10,36
"76","2390云辰","110/08/19","元大-歸仁",2,55,-53
"77","2390云辰","110/08/19","中農",55,20,35
"78","2390云辰","110/08/19","日茂",7,58,-51
"79","2390云辰","110/08/19","第一金-安和",55,22,33
"80","2390云辰","110/08/19","元大-大灣",10,60,-50
"81","2390云辰","110/08/19","元大-雙和",42,12,30
"82","2390云辰","110/08/19","凱基-三重",1,48,-47
"83","2390云辰","110/08/19","國泰-館前",77,48,29
"84","2390云辰","110/08/19","國票-台東",2,41,-39
"85","2390云辰","110/08/19","元大-文心興安",42,13,29
"86","2390云辰","110/08/19","豐農",7,41,-34
"87","2390云辰","110/08/19","(牛牛牛)亞-鑫豐",59,31,28
"88","2390云辰","110/08/19","凱基-中港",5,36,-31
"89","2390云辰","110/08/19","國泰-高雄",44,18,26
"90","2390云辰","110/08/19","永豐金-嘉義",3,32,-29
