"","stake","date","name","buy","sell","total"
"1","1315達新","110/08/19","凱基-中港",16,0,16
"2","1315達新","110/08/19","永豐金證券",2,17,-15
"3","1315達新","110/08/19","元大-北屯",10,0,10
"4","1315達新","110/08/19","國泰-館前",0,10,-10
"5","1315達新","110/08/19","日盛-和美",6,0,6
"6","1315達新","110/08/19","元大-桃興",0,10,-10
"7","1315達新","110/08/19","元富-三重",5,0,5
"8","1315達新","110/08/19","日盛-台中",0,9,-9
"9","1315達新","110/08/19","康和-內湖",4,0,4
"10","1315達新","110/08/19","元大-文心興安",0,8,-8
"11","1315達新","110/08/19","元大-豐原",4,0,4
"12","1315達新","110/08/19","摩根大通",0,6,-6
"13","1315達新","110/08/19","元大-向上",3,0,3
"14","1315達新","110/08/19","美商高盛",0,5,-5
"15","1315達新","110/08/19","合庫-西台中",3,1,2
"16","1315達新","110/08/19","台灣摩根士丹利",0,2,-2
"17","1315達新","110/08/19","國票-桃園",2,0,2
"18","1315達新","110/08/19","瑞士信貸",0,2,-2
"19","1315達新","110/08/19","台新證券",3,1,2
"20","1315達新","110/08/19","新光",2,4,-2
"21","1315達新","110/08/19","群益金鼎-延平",2,0,2
"22","1315達新","110/08/19","元大-南投",0,2,-2
"23","1315達新","110/08/19","元大-台北",2,0,2
"24","1315達新","110/08/19","元大-中壢",0,2,-2
"25","1315達新","110/08/19","元大-桃園",2,0,2
"26","1315達新","110/08/19","永豐金-中盛",1,3,-2
"27","1315達新","110/08/19","元大-左營",2,0,2
"28","1315達新","110/08/19","港商法國興業",0,1,-1
"29","1315達新","110/08/19","新光-台中",1,0,1
"30","1315達新","110/08/19","永豐金-南投",0,1,-1
"31","2609陽明","110/08/19","美商高盛",2352,641,1711
"32","2609陽明","110/08/19","凱基-台北",2247,12187,-9940
"33","2609陽明","110/08/19","華南永昌-竹北",1335,536,799
"34","2609陽明","110/08/19","康和",1685,8746,-7061
"35","2609陽明","110/08/19","國泰-敦南",5999,5202,797
"36","2609陽明","110/08/19","富邦證券",159,6808,-6649
"37","2609陽明","110/08/19","日盛-雙和",967,217,750
"38","2609陽明","110/08/19","台灣摩根士丹利",66,2608,-2542
"39","2609陽明","110/08/19","國泰-館前",1665,1071,594
"40","2609陽明","110/08/19","兆豐-南京",144,2129,-1985
"41","2609陽明","110/08/19","台新證券",3672,3095,577
"42","2609陽明","110/08/19","兆豐-虎尾",7267,9058,-1791
"43","2609陽明","110/08/19","統一-三重",826,296,530
"44","2609陽明","110/08/19","美林",2631,4379,-1748
"45","2609陽明","110/08/19","玉山證券",1424,939,485
