"","stake","date","name","buy","sell","total"
"1","1309台達化","110/09/09","美林",154,26,128
"2","1309台達化","110/09/09","兆豐證券",0,169,-169
"3","1309台達化","110/09/09","元大-東港",33,0,33
"4","1309台達化","110/09/09","元大證券",4,110,-106
"5","1309台達化","110/09/09","元大-竹山",30,2,28
"6","1309台達化","110/09/09","台灣摩根士丹利",0,63,-63
"7","1309台達化","110/09/09","元富-緯城",21,0,21
"8","1309台達化","110/09/09","凱基-松山",0,42,-42
"9","1309台達化","110/09/09","兆豐-台南",20,1,19
"10","1309台達化","110/09/09","新光",4,29,-25
"11","1309台達化","110/09/09","台新-左楠",17,0,17
"12","1309台達化","110/09/09","台灣企銀",0,23,-23
"13","1309台達化","110/09/09","瑞士信貸",22,7,15
"14","1309台達化","110/09/09","康和-台北",0,20,-20
"15","1309台達化","110/09/09","凱基-台北",87,73,14
"16","1309台達化","110/09/09","凱基-南崁",0,20,-20
"17","1309台達化","110/09/09","群益金鼎-天母",12,0,12
"18","1309台達化","110/09/09","元富-大昌",0,15,-15
"19","1309台達化","110/09/09","元大-沙鹿",12,0,12
"20","1309台達化","110/09/09","國票-中港",1,15,-14
"21","1309台達化","110/09/09","合庫證券",11,0,11
"22","1309台達化","110/09/09","中國信託-高雄",0,13,-13
"23","1309台達化","110/09/09","元富-台南",10,0,10
"24","1309台達化","110/09/09","兆豐-岡山",0,12,-12
"25","1309台達化","110/09/09","康和-石牌",10,0,10
"26","1309台達化","110/09/09","富邦-仁愛",9,21,-12
"27","1309台達化","110/09/09","群益金鼎-民權",10,0,10
"28","1309台達化","110/09/09","元大-新盛",2,12,-10
"29","1309台達化","110/09/09","元大-彰化民生",10,0,10
"30","1309台達化","110/09/09","日盛證券",1,10,-9
"31","1312國喬","110/09/09","土銀-南港",240,0,240
"32","1312國喬","110/09/09","香港上海匯豐",0,554,-554
"33","1312國喬","110/09/09","台新-中壢",200,0,200
"34","1312國喬","110/09/09","永豐金證券",112,594,-482
"35","1312國喬","110/09/09","凱基-台北",328,146,182
"36","1312國喬","110/09/09","元大-豐原",0,360,-360
"37","1312國喬","110/09/09","華南永昌-鳳山",170,0,170
"38","1312國喬","110/09/09","元富-大裕",3,170,-167
"39","1312國喬","110/09/09","元大-新莊",103,0,103
"40","1312國喬","110/09/09","美林",13,138,-125
"41","1312國喬","110/09/09","港商野村",138,62,76
"42","1312國喬","110/09/09","台灣摩根士丹利",25,135,-110
"43","1312國喬","110/09/09","台灣匯立證券",62,0,62
"44","1312國喬","110/09/09","台新-松江",0,50,-50
"45","1312國喬","110/09/09","摩根大通",149,96,53
"46","1312國喬","110/09/09","永豐金-復興",0,50,-50
"47","1312國喬","110/09/09","元富-緯城",50,0,50
"48","1312國喬","110/09/09","瑞士信貸",0,44,-44
"49","1312國喬","110/09/09","凱基-三重",52,4,48
"50","1312國喬","110/09/09","富邦-桃園",2,40,-38
"51","1312國喬","110/09/09","群益金鼎-民權",52,7,45
"52","1312國喬","110/09/09","美商高盛",4,36,-32
"53","1312國喬","110/09/09","日盛證券",40,0,40
"54","1312國喬","110/09/09","元大-鳳中",0,24,-24
"55","1312國喬","110/09/09","元大證券",92,53,39
"56","1312國喬","110/09/09","元大-小港",6,30,-24
"57","1312國喬","110/09/09","統一",38,0,38
"58","1312國喬","110/09/09","台新證券",9,31,-22
"59","1312國喬","110/09/09","凱基-宜蘭",38,0,38
"60","1312國喬","110/09/09","元大-大安",0,22,-22
"61","3702大聯大","110/09/09","美林",486,40,446
"62","3702大聯大","110/09/09","富邦證券",0,500,-500
"63","3702大聯大","110/09/09","台灣摩根士丹利",288,18,270
"64","3702大聯大","110/09/09","美商高盛",96,385,-289
"65","3702大聯大","110/09/09","摩根大通",386,147,239
"66","3702大聯大","110/09/09","瑞士信貸",38,309,-271
"67","3702大聯大","110/09/09","中國信託",129,0,129
"68","3702大聯大","110/09/09","元大-向上",1,175,-174
"69","3702大聯大","110/09/09","凱基-台南",100,0,100
"70","3702大聯大","110/09/09","元富",27,200,-173
"71","3702大聯大","110/09/09","凱基-台北",174,102,72
"72","3702大聯大","110/09/09","新加坡商瑞銀",24,61,-37
"73","3702大聯大","110/09/09","港商野村",39,7,32
"74","3702大聯大","110/09/09","法銀巴黎",0,35,-35
"75","3702大聯大","110/09/09","元大證券",43,12,31
"76","3702大聯大","110/09/09","香港上海匯豐",16,47,-31
"77","3702大聯大","110/09/09","兆豐-小港",25,0,25
"78","3702大聯大","110/09/09","花旗環球",0,21,-21
"79","3702大聯大","110/09/09","元大-西門",24,0,24
"80","3702大聯大","110/09/09","元大-文心興安",0,17,-17
"81","3702大聯大","110/09/09","元大-新莊",20,0,20
"82","3702大聯大","110/09/09","日盛-和美",0,10,-10
"83","3702大聯大","110/09/09","日盛-樹林",15,0,15
"84","3702大聯大","110/09/09","凱基-和平",0,10,-10
"85","3702大聯大","110/09/09","玉山-城中",13,0,13
"86","3702大聯大","110/09/09","永豐金-板新",0,10,-10
"87","3702大聯大","110/09/09","新光-高雄",14,3,11
"88","3702大聯大","110/09/09","群益金鼎-土城",0,9,-9
"89","3702大聯大","110/09/09","統一-內湖",10,0,10
"90","3702大聯大","110/09/09","國泰-忠孝",0,8,-8
"91","2417圓剛","110/09/09","新加坡商瑞銀",163,1,162
"92","2417圓剛","110/09/09","凱基-台北",385,766,-381
"93","2417圓剛","110/09/09","群益金鼎-新竹",153,24,129
"94","2417圓剛","110/09/09","元大-中壢",212,561,-349
"95","2417圓剛","110/09/09","花旗環球",122,2,120
"96","2417圓剛","110/09/09","元富",3,344,-341
"97","2417圓剛","110/09/09","華南永昌-林口",83,18,65
"98","2417圓剛","110/09/09","元富-永和",2,244,-242
"99","2417圓剛","110/09/09","元富-潮州",69,8,61
"100","2417圓剛","110/09/09","台灣摩根士丹利",0,157,-157
"101","2417圓剛","110/09/09","日盛-木柵",90,36,54
"102","2417圓剛","110/09/09","美林",52,154,-102
"103","2417圓剛","110/09/09","元大-花蓮",168,115,53
"104","2417圓剛","110/09/09","美商高盛",46,141,-95
"105","2417圓剛","110/09/09","台灣企銀",53,1,52
"106","2417圓剛","110/09/09","永豐金證券",11,102,-91
"107","2417圓剛","110/09/09","永豐金-豐原",54,2,52
"108","2417圓剛","110/09/09","群益金鼎-台北",6,61,-55
"109","2417圓剛","110/09/09","聯邦商銀",51,1,50
"110","2417圓剛","110/09/09","統一-金門",1,50,-49
"111","2417圓剛","110/09/09","元大-屏東民生",65,20,45
"112","2417圓剛","110/09/09","凱基-內湖",3,50,-47
"113","2417圓剛","110/09/09","群益金鼎-高雄",75,31,44
